"Story","Title","Result","Date","Stability","Duration (s)"
"","After stories","ERROR","2018-04-18T15:48:59.42+02:00[Europe/Belgrade]","0.0","0.01"
"Logowanie","Login and password on page","SUCCESS","2018-04-18T16:42:00.6+02:00[Europe/Belgrade]","0.0","26.29"
